,id,essay_set,response,dimscore1,unique_word_count,sentence_length_entropy,sentence_length_words_mean,sentence_count,type_token_ratio,word_lengths_percentile_75,syllable_ratio,sentence_diversity,unique_spelling_error_ratio,paragraph_lengths_sentences_mean
2124,359,1,"Being active has no limit , but technology does .",2.0,8,-0.0,8.0,1,0.8888888888888888,5.25,1.5555555555555556,-0.0,0.0,1.0
3150,1121,1,In my opinion i think that computers help people . It helps them with imformation that they @ MONTH1 need . It can also help learn a lot of things .,2.0,24,1.584962500721156,9.0,3,0.8571428571428571,5.0,1.2857142857142858,-0.0,0.07142857142857142,3.0
7745,60,1,"Dear @ CAPS1 , I , agree that computers are benefits society . The computers have positive effect on people like hand - eye coordination . I helps you learn about other country religios , and other thing . You can communicate , meet other people , and chat tru computers . Another positive fact about computer is that you can find all the information you need and fast . In other words is that computer help a lot of people .",4.0,50,2.5520502875297484,11.5,6,0.7142857142857143,6.0,1.7571428571428571,0.6500224216483541,0.028571428571428567,6.0
7813,1474,1,"The reason why I think computers are good is because people like to do their work , or children likes the games on the computers . The second reasons is that adults likes to do their jobs online . Finally people who have computers are probably happy because computers is a good thing to have because you can do everything on it . My opinion is that computers are good for people because you can do everything like play game , go on myspace , facebook , twiter and alot of other websites .",4.0,53,1.9439096666359752,21.5,4,0.6091954022988506,6.0,1.7126436781609196,0.8112781244591328,0.02298850574712644,4.0
8000,589,1,"Dear @ LOCATION1 , I believe that going on the computer has a positive effect on people . It is also true that some people are not getting enough exercise . To prevent not getting enough exercise we should play sports or have family activities to atleast get out of our house . Everybody needs to stop being lazy and get active . I think that an excerise day should be mode and turned into a tradition . It could be twice a year or more a month or whatever is picked as long as there is one day @ LOCATION2 or even more than @ LOCATION2 can exercise on .",5.0,72,2.471076961849038,16.833333333333332,6,0.7058823529411765,6.0,1.6372549019607845,0.9182958340544896,0.0196078431372549,6.0
8011,838,1,"Dear Newspaper writers , I belev that difrent web sites have difrent effeks on people . For exam pull @ ORGANIZATION1 has news about what is going on in the world . Other websites all difrent types of games on it could be bad for some people because some of the games are not vary apropreit . Most edicatinal web sites are ment fo help people learn . One person can learn so much with a computer . You can buy and sell a iturn that you own an get many all on one web site . A computer can be used for many difrent perpests .",5.0,72,2.7169382233425807,14.0,7,0.7272727272727273,5.0,1.5454545454545454,0.8631205685666309,0.030303030303030307,7.0
8056,209,1,"Dear local newspaper editor , @ CAPS1 opinion on the effects of computers on people is that staying on a computer is not that bad it does not rot you brain like video games . are some good reasons why computers are good and help you . Sometimes computers do help with hand - eye coordination . You use the computer to do homework or to search a a stores etc . Some computers are really slow but not all of the new ones for @ DATE1 , computers can also help you read better it has little . You could play talk to people like your friends . Listening to music is an easy thing to you could a website that has all songs that you like to listen yo many people use the computer to find jobs and use it to look for ways to eat right and work out paying bills online is easyer than paying them for real . The computer is easy way to pay and you should agree with @ CAPS1 opinion .",6.0,98,2.6947592157927174,20.625,8,0.5903614457831325,5.0,1.5120481927710845,1.4056390622295662,0.018072289156626502,8.0
8060,152,1,"Dear local newspaper , @ CAPS1 opinion on the effects computers have on people is a positive effect . Three main reasons are that people learn more about cultures , places , and some people work online . @ CAPS1 first reason why computers have a positive effect on people is because they help you learn about cultures around the world . Learning about cultures is very important because if people travel they need to know how they can respect each other . @ CAPS1 second reason why computers have a positive effect on people is because they help you learn about places around the world the world . Learning about places is very important because you could get lost . It also helps you by telling you which places are famous to visit . @ CAPS1 third reason why computers have a positive effect on people is because some people find jobs online . Other people work online . This benefits people in a positive way . In conclusion computers have a positive effect on people because it is helps people learn about cultures , places , and jobs around them .",6.0,75,3.3331123215309133,15.727272727272727,11,0.4310344827586207,6.0,1.7471264367816093,1.4949188482339508,0.005747126436781609,11.0
8063,401,1,"Dear , @ CAPS1 paper edattor we should stop because people are not doing anything their just staying home using the computer . Making there life worser they should make a day whith out computors and every one goes out side and gets exsesise . Wo could mapse the world better the more you . Exersise the stronger you get people livse computers because they could there frends play games that is but some time we have to go outside . Some times i like using the computer but a littile to much land that i do not get that mach exesersise and i hope i could stop from that and go out side and exersise more . We would have computers but we will not use it like for along time then spend more outside . We should only olw kids for only two or three hours a day . When there using the computer they use over like hours that is not good they should go out side that is why .",6.0,96,2.9019595049947386,20.375,8,0.5853658536585366,5.0,1.5365853658536586,0.8112781244591328,0.06097560975609756,8.0
8072,520,1,"Dear newspaper , I think computers are good for you because talk online , teach hand eye coordination , and other stuff too . One reason @ CAPS9 he helps you with your hand eye coordination for example teach you how you look while typing . @ CAPS3 we do not learn hand eye coordination we will not know how to do other stuff that @ CAPS9 hand eye coordination . The second reason @ CAPS9 @ CAPS1 you have a webcam you can use @ CAPS1 for example when a family member @ CAPS9 living in a different state you can see their face and talk to them like you do in person . The last reason @ CAPS9 searching the web because @ CAPS3 you want to get @ CAPS4 ticits for a trip look online . @ CAPS1 ' s the best way to get them . researcher say @ NUM1 out of @ NUM2 people say getting online @ CAPS9 the best way because you can see when the @ CAPS4 take off , when the next @ CAPS4 also when to come back home . All in all I say that compuetrs are a good thing because they help with you hand eye coordination also . @ CAPS3 you have a web cam you can see family members from different states and see the face and talk to them like you are talking In person . The last thing @ CAPS9 searching the web for @ CAPS4 tickets @ CAPS3 you want to go somewhere far a way go online and see when the @ CAPS4 and comes back because researchers says that @ NUM1 out of @ NUM2 People say that getting online for @ CAPS4 ticket @ CAPS9 the best way to get them . Ask your self woild you like to have the web to seach or not ?",6.0,115,3.3085635591505516,25.09090909090909,11,0.4151624548736462,5.0,1.4512635379061372,0.8658566174572235,0.032490974729241874,11.0
