,id,essay_set,response,dimscore1,unique_word_count,sentence_length_entropy,sentence_length_words_mean,sentence_count,type_token_ratio,word_lengths_percentile_75,syllable_ratio,sentence_diversity,unique_spelling_error_ratio,paragraph_lengths_sentences_mean
1942,974,1,"What compters stop you from doing is your homework in school . But when you do something on the computer your not soposes to do , you get stuck on a website you can not get off your screen . So what I am trying to say is to do not stay on the computer than just @ NUM1 min .",2.0,39,1.5042155786271256,18.666666666666668,3,0.6842105263157895,4.0,1.3333333333333333,0.9182958340544896,0.03508771929824561,3.0
2343,41,1,I think computers are good because you can talk to your friends and family on the computers . People needs computers to look for a job . Some people spend to much time on the computers then on homework people need to stop .,2.0,31,1.516408875319163,13.666666666666664,3,0.7380952380952381,6.0,1.5,1.584962500721156,0.0,3.0
2468,1786,1,"Dear readers , I think that it is good and bad to use the computer to much .",2.0,15,-0.0,16.0,1,0.8823529411764706,4.0,1.1764705882352942,-0.0,0.0,1.0
3552,1592,1,The computers are cool . Do you now I werpsite is @ NUM1 . com . We nede to time the lemt lo - menteno it . I love the compueters . We nede @ NUM2 make a computers are grene compurers .,2.0,28,2.3606941800631382,5.666666666666668,6,0.8,4.0,1.5714285714285714,1.4591479170272446,0.2,6.0
3699,1555,1,Computer can be used for anyting but sometimes people use it for illeagle things like music some music site are a illeagle and sometimes thing off the internet . People meet over the internet can be sometimes dangerous because some people lye about there age or put fake pictures of them .,2.0,39,0.9895875212220556,25.0,2,0.7647058823529411,6.0,1.843137254901961,-0.0,0.0196078431372549,2.0
3913,832,1,"Dear editor , computers are good for people because it really helps with they work and home work and other stuff .",2.0,18,-0.0,20.0,1,0.8571428571428571,5.25,1.4761904761904765,-0.0,0.0,1.0
3929,449,1,Computers are good because people can find what they need and their fun ask things find places get things for a good price .,2.0,20,-0.0,23.0,1,0.8333333333333334,5.5,1.2916666666666667,-0.0,0.0,1.0
4052,545,1,I think that computers are amazing . Computers are an amazing way to meat new pol online .,2.0,14,0.9544340029249648,8.0,2,0.8235294117647058,6.25,1.6470588235294117,1.0,0.0,2.0
4281,22,1,Dear local Newspaper @ CAPS1 a take all your computer and given to the people around the world for the can stay in their houses chating with their family and friend . Computers help people around the world to connect with other people computer help kids do their homework and look up staff that happen around the world .,3.0,38,0.9963165195589619,28.0,2,0.6666666666666666,6.0,1.4561403508771933,-0.0,0.03508771929824561,2.0
6717,375,1,I not agreed the people shuld d in the computer a lot and I going to said way . My first reason is because if you are a @ NUM1 old man or your not going to d wit your kids and you going to have eyes problem so thas way you shuld in d in the computer a lot . My secon reason is the you going to have problem wit your wife if she found out the you are talking to another woman online because a lot of people they wife found out the they can not d wit other woman . My teard reason is the if you are a kid like me you not going to have fun and you not going to have friends because the computer problem came and go and not going to d wit your family and you lil sister out said playing wit her . So thas why you shulding d a lot in the computer .,4.0,65,2.1495053714822405,32.0,5,0.40372670807453415,5.0,1.3478260869565215,0.7219280948873623,0.024844720496894408,5.0
6784,19,1,I aegre waf the evansmant ov tnachnolage . The evansmant ov tnachnolige is being to halp fined a kohar froi alnsas . Tnanchnolage waf ont ot we wod not go to the moon . Tnachnologe evans as we maech at . The people are in tnacholege to the frchr fror the good ov live . Famas invanyor ues tnacholage leki lena orde dvanse and his fling mashine . Tnachologe is the grat .,4.0,53,2.70430336263023,9.428571428571429,7,0.7910447761194029,5.0,1.5970149253731345,0.9852281360342516,0.20895522388059698,7.0
6959,995,1,"I think computers are good , because some people do not have phones so @ CAPS1 a good way to conect with people you know , also meet new people . Second some people are going to collage when there done with high school so you could just look on the computers and find one you like and pricess , also find ways there . Third reason is ahopping if a holiday is coming up you could check online and find stuff for cheap and nice to you . You could also order it to your house online if you do not got alot of time to go shopping . @ CAPS1 some reasons why I think online is good you could chat , find places and pricess , collages and also shop online @ CAPS1 why online is good .",4.0,74,2.3041102959598394,25.6,5,0.5736434108527132,5.0,1.5116279069767442,-0.0,0.03875968992248062,5.0
7045,1253,1,"Dear @ CAPS1 @ CAPS2 , I think that computers are bad because you will be wonign to do no homework because people are playing to much computers and they are getting aditivf to the computers and it is dayise because you mit be talking to people that you do not now on thr computer and it is the vary dagis because it is the sam thing as haveing a myspace on teh computer it is vaery dangish because ther are dad people that be going on the computer and people be pating bad stuf on the computer .",4.0,52,-0.0,95.0,1,0.5416666666666666,6.0,1.53125,-0.0,0.08333333333333333,1.0
7145,455,1,People are probly on the computers chating there e - mail or making a websit or they are on youtube . Maybe the person does not like to go outside and enjoy nature or spending time with there family there are probly checking out new websites and playing games or the problay on the comper to book there vactions of seeing what is on sell a welmart . They are probly looking at or buy a new truk or they are looking at the history on all the wars and how they were started .,4.0,58,1.4857517236523323,30.33333333333333,3,0.6304347826086957,6.0,1.5217391304347827,-0.0,0.05434782608695652,3.0
7157,1536,1,"Some people do not like computers because of instant reason , and other people like computers little too much . I like computers but @ CAPS1 not obsess with computers give good efforts on people , even me you can learn things off the computer and you start to get good hand eye coordination one of the things I like about the is that you can notalk "" to other people . Lots of people uses the computer a little too much that they do not exercise , or watch nature as much some normal ( other ) people should , and they do not spend them with their familys . I rather spend time on the computer for only ( # @ NUM1 ) three hours so then I can do other things with my time and you or anybody should do the same .",4.0,72,1.9199270089411915,32.5,4,0.5496183206106869,5.75,1.5114503816793894,-0.0,0.022900763358778626,4.0
7203,1217,1,I think having computers are good because you can use it to find places . Another reasons why it is good is that you can talk to your friends from the computer . You can play all types of different games and get pictures and it is is good to do your homework . That is why computers are good and we need them . First reason that we need computers is that it can be a map for us . Also we could look at places we never saw before and if you want to get some where you can go the computer to do that .,4.0,60,2.52279326684915,17.0,6,0.5825242718446602,4.0,1.4077669902912622,1.0,0.0,6.0
7357,1107,1,Computer are good and bad because computers are good because that is a way we can comunicate with other people in different states . Another reason computers are good because they can keep you out of trouble and can keep you entertained . Computers are bad because they can become a computer . Freak and become highper when it comes to computers . Computers are good because it can do alot of things that other objects cannot do .,4.0,43,2.2266956899460872,15.0,5,0.5657894736842105,6.5,1.7236842105263157,0.9709505944546686,0.03947368421052632,5.0
7507,1295,1,"More and more people use computers , they love computers for place that are far or the news . Computers are good for everyone in this world . Know one can live with out computers . There ' s others dat do not like computer for nothing . I know that there ' s family or friends that be having computers they write each others like in myspace u could have friend from everywhere or family ' s . But computers are spending to many times on their computers .",4.0,60,2.394642438999623,13.333333333333336,6,0.7407407407407407,6.0,1.6049382716049383,1.584962500721156,0.0,6.0
7564,1096,1,"I think that we should have computers . Because it help us find pleopl and it help us talk to peopl and it help you srech thing too I can have a brother that I never knew before then you can find that brother . Then I can talk to my firend online if I go to myspace or @ CAPS1 because you can in @ MONTH1 be have firend on myspace , and by srech this you can find new thins and you can look up this like weather in a different country or state I can find out how cold it is in taxes and you can srech an up to see how old it can be . Or how old it can get .",4.0,63,1.4243022206461369,30.0,4,0.5206611570247934,4.0,1.28099173553719,1.0,0.033057851239669415,4.0
